,Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,datetime,month
15,11/03/2004,9,"2,2",1351.0,"9,5",960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,2004-03-11,March
16,11/03/2004,10,"1,7",1233.0,"6,3",827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,2004-03-11,March
17,11/03/2004,11,"1,5",1179.0,"5,0",762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,2004-03-11,March
18,11/03/2004,12,"1,6",1236.0,"5,2",774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,2004-03-11,March
19,11/03/2004,13,"1,9",1286.0,"7,3",869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,2004-03-11,March
20,11/03/2004,14,"2,9",1371.0,"11,5",1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,2004-03-11,March
21,11/03/2004,15,"2,2",1310.0,"8,8",933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,2004-03-11,March
22,11/03/2004,16,"2,2",1292.0,"8,3",912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,2004-03-11,March
23,11/03/2004,17,"2,9",1383.0,"11,2",1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,2004-03-11,March
24,11/03/2004,18,"4,8",1581.0,"20,8",1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,2004-03-11,March
25,11/03/2004,19,"6,9",1776.0,"27,4",1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,2004-03-11,March
26,11/03/2004,20,"6,1",1640.0,"24,0",1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,2004-03-11,March
27,11/03/2004,21,"3,9",1313.0,"12,8",1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,2004-03-11,March
28,11/03/2004,22,"1,5",965.0,"4,7",749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,2004-03-11,March
29,11/03/2004,23,1,913.0,"2,6",629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,2004-03-11,March
30,12/03/2004,0,"1,7",1080.0,"5,9",805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,2004-03-12,March
31,12/03/2004,1,"1,9",1044.0,"6,4",829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,2004-03-12,March
32,12/03/2004,2,"1,4",988.0,"4,1",718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2004-03-12,March
34,12/03/2004,4,-200,831.0,"1,1",506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,2004-03-12,March
35,12/03/2004,5,"0,6",847.0,"1,0",501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,2004-03-12,March
36,12/03/2004,6,"0,8",927.0,"1,8",571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,2004-03-12,March
37,12/03/2004,7,"1,4",1091.0,"4,4",730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,2004-03-12,March
38,12/03/2004,8,"4,4",1587.0,"17,9",1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,2004-03-12,March
40,12/03/2004,10,"3,1",1350.0,"14,0",1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,2004-03-12,March
41,12/03/2004,11,"2,7",1263.0,"11,6",1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,2004-03-12,March
42,12/03/2004,12,"2,1",1206.0,"10,2",986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,2004-03-12,March
43,12/03/2004,13,"2,5",1252.0,"11,0",1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,2004-03-12,March
44,12/03/2004,14,"2,7",1287.0,"12,8",1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,2004-03-12,March
45,12/03/2004,15,"2,9",1353.0,"14,2",1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,2004-03-12,March
46,12/03/2004,16,"2,8",1309.0,"12,7",1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,2004-03-12,March
47,12/03/2004,17,"2,4",1274.0,"11,7",1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,2004-03-12,March
48,12/03/2004,18,"3,9",1510.0,"19,3",1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,2004-03-12,March
49,12/03/2004,19,"3,7",1525.0,"18,2",1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,2004-03-12,March
50,12/03/2004,20,"6,6",1843.0,"32,6",1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,2004-03-12,March
51,12/03/2004,21,"4,4",1598.0,"20,1",1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,2004-03-12,March
52,12/03/2004,22,"3,5",1484.0,"14,3",1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,2004-03-12,March
53,12/03/2004,23,"5,4",1677.0,"21,8",1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,2004-03-12,March
54,13/03/2004,0,"2,7",1280.0,"9,6",964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,2004-03-13,March
55,13/03/2004,1,"1,9",1196.0,"7,4",873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,2004-03-13,March
56,13/03/2004,2,"1,6",1184.0,"5,4",782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2004-03-13,March
58,13/03/2004,4,-200,1147.0,"6,2",821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,2004-03-13,March
59,13/03/2004,5,1,978.0,"2,6",625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,2004-03-13,March
60,13/03/2004,6,"1,2",1100.0,"2,9",646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,2004-03-13,March
61,13/03/2004,7,"1,5",1112.0,"5,1",770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,2004-03-13,March
62,13/03/2004,8,"2,7",1336.0,"11,8",1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,2004-03-13,March
63,13/03/2004,9,"3,7",1408.0,"15,1",1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,2004-03-13,March
64,13/03/2004,10,"3,2",1447.0,"12,9",1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,2004-03-13,March
65,13/03/2004,11,"4,1",1542.0,"16,1",1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,2004-03-13,March
66,13/03/2004,12,"3,6",1451.0,"14,0",1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,2004-03-13,March
67,13/03/2004,13,"2,8",1328.0,"12,3",1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,2004-03-13,March
68,13/03/2004,14,2,1207.0,"8,6",924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,2004-03-13,March
69,13/03/2004,15,2,1240.0,"9,2",947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,2004-03-13,March
70,13/03/2004,16,"2,5",1306.0,"10,2",987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,2004-03-13,March
71,13/03/2004,17,"2,3",1326.0,"10,6",1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,2004-03-13,March
72,13/03/2004,18,"3,2",1473.0,"15,5",1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,2004-03-13,March
73,13/03/2004,19,"4,2",1609.0,"19,6",1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,2004-03-13,March
74,13/03/2004,20,"4,2",1611.0,"19,2",1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,2004-03-13,March
75,13/03/2004,21,"4,2",1621.0,"18,3",1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,2004-03-13,March
76,13/03/2004,22,"3,1",1444.0,"13,1",1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,2004-03-13,March
77,13/03/2004,23,"2,6",1418.0,"10,9",1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,2004-03-13,March
78,14/03/2004,0,"2,9",1534.0,"11,0",1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,2004-03-14,March
79,14/03/2004,1,"2,8",1484.0,"11,9",1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,2004-03-14,March
80,14/03/2004,2,"2,5",1367.0,"8,6",925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2004-03-14,March
82,14/03/2004,4,-200,1130.0,"5,2",773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,2004-03-14,March
83,14/03/2004,5,"1,2",1062.0,"3,7",691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,2004-03-14,March
84,14/03/2004,6,1,1076.0,"2,5",618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,2004-03-14,March
85,14/03/2004,7,"0,9",1028.0,"2,4",615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,2004-03-14,March
86,14/03/2004,8,"1,4",1155.0,"4,2",722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,2004-03-14,March
87,14/03/2004,9,"1,6",1235.0,"6,4",828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,2004-03-14,March
88,14/03/2004,10,"2,2",1332.0,"8,6",923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,2004-03-14,March
89,14/03/2004,11,"2,8",1445.0,"10,9",1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,2004-03-14,March
90,14/03/2004,12,"2,8",1416.0,"10,7",1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,2004-03-14,March
91,14/03/2004,13,2,1281.0,"7,5",880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,2004-03-14,March
92,14/03/2004,14,"1,8",1207.0,"7,5",879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,2004-03-14,March
93,14/03/2004,15,"1,9",1258.0,"8,2",906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,2004-03-14,March
94,14/03/2004,16,3,1458.0,"11,9",1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,2004-03-14,March
95,14/03/2004,17,"2,9",1438.0,"12,0",1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,2004-03-14,March
96,14/03/2004,18,"2,5",1478.0,"12,2",1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,2004-03-14,March
97,14/03/2004,19,"4,6",1808.0,"20,6",1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,2004-03-14,March
98,14/03/2004,20,"5,9",1898.0,"23,1",1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,2004-03-14,March
99,14/03/2004,21,"3,4",1560.0,"14,7",1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,2004-03-14,March
100,14/03/2004,22,"2,1",1324.0,"9,0",940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,2004-03-14,March
101,14/03/2004,23,"2,2",1349.0,"8,8",933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,2004-03-14,March
102,15/03/2004,0,"1,8",1239.0,"7,4",872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,2004-03-15,March
103,15/03/2004,1,"1,8",1239.0,"6,9",853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,2004-03-15,March
104,15/03/2004,2,"1,8",1224.0,"7,0",855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,2004-03-15,March
106,15/03/2004,4,-200,1078.0,"4,0",711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351,2004-03-15,March
107,15/03/2004,5,1,1075.0,"3,9",703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,2004-03-15,March
108,15/03/2004,6,"1,4",1157.0,"6,4",830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,2004-03-15,March
109,15/03/2004,7,"2,2",1314.0,"9,7",966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,2004-03-15,March
110,15/03/2004,8,"5,5",1797.0,"25,9",1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,2004-03-15,March
111,15/03/2004,9,"8,1",1961.0,"36,7",1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,2004-03-15,March
112,15/03/2004,10,"5,8",1771.0,"26,6",1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,2004-03-15,March
113,15/03/2004,11,"4,2",1564.0,"20,1",1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,2004-03-15,March
114,15/03/2004,12,"3,1",1430.0,"14,1",1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,2004-03-15,March
115,15/03/2004,13,"2,9",1417.0,"14,9",1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,2004-03-15,March
116,15/03/2004,14,"2,9",1400.0,"15,4",1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,2004-03-15,March
117,15/03/2004,15,"2,5",1317.0,"12,1",1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,2004-03-15,March
118,15/03/2004,16,"2,3",1318.0,"11,5",1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,2004-03-15,March
119,15/03/2004,17,"2,8",1445.0,"14,8",1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,2004-03-15,March
120,15/03/2004,18,"6,1",1917.0,"32,1",1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,2004-03-15,March
121,15/03/2004,19,8,2040.0,"39,2",1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,2004-03-15,March
122,15/03/2004,20,"6,5",1895.0,"31,0",1573.0,320.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945,2004-03-15,March
123,15/03/2004,21,"4,2",1595.0,"19,9",1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,2004-03-15,March
124,15/03/2004,22,"3,2",1439.0,"15,3",1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,2004-03-15,March
125,15/03/2004,23,"1,4",1142.0,"6,9",852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,2004-03-15,March
126,16/03/2004,0,"2,1",1304.0,"11,1",1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,2004-03-16,March
127,16/03/2004,1,"1,2",1074.0,"5,4",784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,2004-03-16,March
128,16/03/2004,2,"0,8",968.0,"2,8",640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,2004-03-16,March
130,16/03/2004,4,-200,941.0,"2,6",626.0,59.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945,2004-03-16,March
131,16/03/2004,5,"0,6",937.0,"2,0",585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,2004-03-16,March
132,16/03/2004,6,"0,9",1017.0,"3,5",681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,2004-03-16,March
133,16/03/2004,7,"1,3",1171.0,"5,1",770.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,2004-03-16,March
134,16/03/2004,8,"3,4",1541.0,"16,2",1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,2004-03-16,March
135,16/03/2004,9,"3,7",1539.0,"19,7",1287.0,229.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743,2004-03-16,March
136,16/03/2004,10,"5,3",1735.0,"25,1",1431.0,396.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672,2004-03-16,March
137,16/03/2004,11,"4,1",1571.0,"20,0",1297.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417,2004-03-16,March
138,16/03/2004,12,"3,3",1452.0,"18,3",1250.0,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231,2004-03-16,March
139,16/03/2004,13,4,1579.0,"22,3",1359.0,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,2004-03-16,March
140,16/03/2004,14,"3,8",1466.0,"20,4",1309.0,263.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589,2004-03-16,March
141,16/03/2004,15,"2,8",1280.0,"14,6",1136.0,180.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094,2004-03-16,March
142,16/03/2004,16,"2,9",1407.0,"16,6",1197.0,184.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014,2004-03-16,March
143,16/03/2004,17,"2,9",1389.0,"15,8",1173.0,190.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098,2004-03-16,March
144,16/03/2004,18,"3,4",1447.0,"17,8",1235.0,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,2004-03-16,March
145,16/03/2004,19,"3,9",1551.0,"19,1",1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,2004-03-16,March
146,16/03/2004,20,"3,2",1474.0,"15,8",1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,2004-03-16,March
147,16/03/2004,21,"5,1",1800.0,"24,9",1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,2004-03-16,March
148,16/03/2004,22,"2,6",1379.0,"13,5",1101.0,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,2004-03-16,March
149,16/03/2004,23,"1,7",1201.0,"9,1",943.0,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,2004-03-16,March
150,17/03/2004,0,"1,7",1205.0,"8,6",925.0,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,2004-03-17,March
151,17/03/2004,1,"1,2",1072.0,"5,4",784.0,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,2004-03-17,March
152,17/03/2004,2,"0,9",998.0,"4,1",714.0,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,2004-03-17,March
154,17/03/2004,4,-200,883.0,"1,9",577.0,54.0,1396.0,60.0,1303.0,808.0,12.7,57.9,0.8447,2004-03-17,March
155,17/03/2004,5,"0,5",869.0,"1,6",554.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,2004-03-17,March
156,17/03/2004,6,"0,5",891.0,"1,9",576.0,46.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978,2004-03-17,March
157,17/03/2004,7,"1,6",1173.0,"7,5",878.0,160.0,1038.0,84.0,1556.0,1052.0,9.9,65.2,0.7956,2004-03-17,March
158,17/03/2004,8,"4,1",1587.0,"21,4",1334.0,320.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958,2004-03-17,March
159,17/03/2004,9,"6,6",1852.0,"36,4",1696.0,377.0,553.0,127.0,2535.0,1931.0,14.1,50.0,0.802,2004-03-17,March
160,17/03/2004,10,"4,3",1522.0,"21,3",1331.0,280.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048,2004-03-17,March
161,17/03/2004,11,"2,9",1438.0,"15,4",1161.0,221.0,819.0,135.0,1782.0,1595.0,21.1,33.4,0.8265,2004-03-17,March
162,17/03/2004,12,"2,5",1393.0,"12,5",1067.0,210.0,905.0,142.0,1654.0,1490.0,24.3,28.3,0.8471,2004-03-17,March
163,17/03/2004,13,"2,8",1452.0,"15,1",1152.0,204.0,861.0,153.0,1747.0,1508.0,25.6,25.6,0.8254,2004-03-17,March
164,17/03/2004,14,"2,6",1389.0,"13,7",1108.0,161.0,887.0,123.0,1712.0,1334.0,25.9,25.9,0.8503,2004-03-17,March
165,17/03/2004,15,2,1207.0,"10,4",994.0,135.0,1013.0,104.0,1520.0,1045.0,26.8,18.7,0.65,2004-03-17,March
166,17/03/2004,16,"2,9",1365.0,"15,2",1154.0,186.0,940.0,129.0,1679.0,1221.0,29.3,15.8,0.6309,2004-03-17,March
167,17/03/2004,17,"2,5",1247.0,"12,3",1060.0,147.0,1032.0,114.0,1525.0,1069.0,28.5,14.9,0.5708,2004-03-17,March
168,17/03/2004,18,5,1557.0,"27,0",1478.0,299.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237,2004-03-17,March
169,17/03/2004,19,"7,6",1973.0,"38,4",1737.0,411.0,617.0,194.0,2414.0,2306.0,23.1,26.5,0.7403,2004-03-17,March
170,17/03/2004,20,"6,7",1975.0,"35,1",1667.0,347.0,597.0,182.0,2416.0,2359.0,20.5,38.2,0.9133,2004-03-17,March
171,17/03/2004,21,"5,7",1795.0,"27,2",1485.0,336.0,653.0,180.0,2174.0,2050.0,19.1,42.6,0.9294,2004-03-17,March
172,17/03/2004,22,"2,8",1444.0,"15,0",1150.0,202.0,770.0,136.0,1727.0,1727.0,17.2,44.1,0.8558,2004-03-17,March
173,17/03/2004,23,"2,6",1488.0,"15,7",1171.0,178.0,731.0,127.0,1778.0,1705.0,16.0,50.9,0.9206,2004-03-17,March
174,18/03/2004,0,"2,3",1371.0,"13,0",1083.0,154.0,796.0,116.0,1669.0,1551.0,14.8,53.9,0.9024,2004-03-18,March
175,18/03/2004,1,"1,4",1161.0,"8,1",904.0,92.0,947.0,107.0,1502.0,1240.0,14.3,55.4,0.8975,2004-03-18,March
176,18/03/2004,2,1,1064.0,"5,5",787.0,61.0,1057.0,88.0,1407.0,1115.0,14.8,52.1,0.8686,2004-03-18,March
178,18/03/2004,4,-200,954.0,"2,9",645.0,60.0,1260.0,78.0,1334.0,925.0,11.6,61.9,0.8442,2004-03-18,March
179,18/03/2004,5,"0,6",931.0,"2,5",623.0,37.0,1293.0,57.0,1307.0,828.0,12.0,58.9,0.8233,2004-03-18,March
180,18/03/2004,6,"0,7",938.0,"3,0",650.0,68.0,1251.0,71.0,1333.0,893.0,10.9,62.1,0.8113,2004-03-18,March
181,18/03/2004,7,"1,5",1166.0,"7,7",885.0,139.0,1005.0,85.0,1551.0,1075.0,10.6,63.3,0.8067,2004-03-18,March
182,18/03/2004,8,"4,7",1643.0,"23,3",1384.0,339.0,667.0,124.0,2094.0,1610.0,11.5,60.0,0.8117,2004-03-18,March
183,18/03/2004,9,"6,6",1934.0,"35,8",1682.0,421.0,541.0,151.0,2468.0,2051.0,14.3,50.6,0.8186,2004-03-18,March
184,18/03/2004,10,"4,5",1617.0,"21,3",1333.0,349.0,686.0,150.0,2010.0,1819.0,17.8,40.5,0.821,2004-03-18,March
185,18/03/2004,11,"2,8",1473.0,"14,3",1127.0,224.0,831.0,152.0,1752.0,1568.0,20.8,34.4,0.8365,2004-03-18,March
186,18/03/2004,12,"2,2",1379.0,"12,5",1068.0,171.0,899.0,139.0,1663.0,1374.0,23.8,28.2,0.8219,2004-03-18,March
187,18/03/2004,13,"2,2",1385.0,"12,2",1056.0,149.0,891.0,133.0,1648.0,1268.0,24.2,28.7,0.8515,2004-03-18,March
188,18/03/2004,14,"2,3",1379.0,"13,1",1087.0,137.0,901.0,126.0,1660.0,1144.0,25.2,24.9,0.7829,2004-03-18,March
189,18/03/2004,15,"2,2",1322.0,"14,4",1129.0,149.0,934.0,128.0,1639.0,1109.0,27.0,17.8,0.6275,2004-03-18,March
190,18/03/2004,16,"2,8",1496.0,"16,8",1205.0,172.0,822.0,169.0,1767.0,1347.0,27.1,23.1,0.818,2004-03-18,March
191,18/03/2004,17,"2,7",1409.0,"14,5",1131.0,166.0,873.0,149.0,1689.0,1206.0,25.8,23.9,0.7832,2004-03-18,March
192,18/03/2004,18,"3,7",1513.0,"21,5",1338.0,214.0,764.0,156.0,1957.0,1397.0,23.0,26.8,0.7446,2004-03-18,March
193,18/03/2004,19,"5,1",1667.0,"26,4",1464.0,280.0,683.0,168.0,2118.0,1588.0,20.7,31.1,0.7523,2004-03-18,March
194,18/03/2004,20,"5,1",1667.0,"26,0",1453.0,276.0,684.0,176.0,2051.0,1569.0,18.6,36.2,0.7676,2004-03-18,March
