,Date,CO(GT),C6H6(GT),NO2(GT)
427,28/03/2004,1.4,5.7,72.0
428,28/03/2004,1.0,3.8,53.0
429,28/03/2004,1.4,4.8,65.0
430,28/03/2004,1.3,4.3,70.0
431,28/03/2004,1.3,4.1,75.0
432,28/03/2004,1.4,4.7,86.0
433,28/03/2004,1.9,6.2,94.0
434,28/03/2004,1.8,5.5,103.0
435,28/03/2004,1.1,3.3,81.0
436,28/03/2004,1.1,3.2,80.0
437,28/03/2004,1.1,2.9,77.0
438,29/03/2004,0.9,2.2,58.0
439,29/03/2004,0.6,1.3,31.0
440,29/03/2004,0.5,1.1,38.0
441,29/03/2004,0.7,1.3,
442,29/03/2004,0.6,1.2,59.0
443,29/03/2004,0.7,1.7,70.0
444,29/03/2004,0.9,2.9,75.0
445,29/03/2004,2.9,14.3,103.0
446,29/03/2004,4.1,19.7,134.0
447,29/03/2004,1.5,5.5,98.0
448,29/03/2004,1.5,5.6,97.0
449,29/03/2004,1.5,5.8,98.0
450,29/03/2004,1.4,5.5,78.0
451,29/03/2004,1.6,6.5,83.0
452,29/03/2004,1.5,5.5,92.0
453,29/03/2004,1.4,5.2,81.0
454,29/03/2004,1.5,5.8,90.0
455,29/03/2004,1.9,7.9,95.0
456,29/03/2004,2.5,10.2,114.0
457,29/03/2004,2.1,8.2,106.0
458,29/03/2004,1.6,5.7,99.0
459,29/03/2004,1.2,3.8,90.0
460,29/03/2004,1.1,4.0,82.0
461,29/03/2004,1.0,2.8,74.0
462,30/03/2004,1.0,2.6,76.0
463,30/03/2004,0.7,1.8,66.0
464,30/03/2004,0.7,1.7,73.0
465,30/03/2004,0.8,1.4,
466,30/03/2004,,1.3,69.0
467,30/03/2004,0.7,2.3,71.0
468,30/03/2004,1.1,5.3,98.0
469,30/03/2004,2.6,13.4,115.0
470,30/03/2004,4.0,23.8,130.0
471,30/03/2004,4.2,21.5,150.0
472,30/03/2004,4.7,21.0,159.0
473,30/03/2004,3.9,18.4,146.0
474,30/03/2004,3.7,18.9,138.0
475,30/03/2004,3.4,17.1,128.0
476,30/03/2004,2.2,10.4,97.0
477,30/03/2004,1.9,8.0,91.0
478,30/03/2004,1.6,6.2,81.0
479,30/03/2004,2.1,9.7,99.0
480,30/03/2004,2.2,9.6,101.0
481,30/03/2004,2.7,11.9,106.0
482,30/03/2004,2.4,8.7,102.0
483,30/03/2004,1.3,4.7,84.0
484,30/03/2004,1.2,3.8,81.0
485,30/03/2004,1.5,4.7,91.0
486,31/03/2004,1.3,3.8,82.0
487,31/03/2004,1.0,2.7,64.0
488,31/03/2004,0.9,2.8,70.0
489,31/03/2004,0.5,1.0,
490,31/03/2004,0.5,0.8,26.0
491,31/03/2004,0.6,1.5,58.0
492,31/03/2004,1.0,3.5,93.0
493,31/03/2004,3.1,15.6,110.0
494,31/03/2004,4.1,19.9,115.0
495,31/03/2004,2.2,8.6,125.0
496,31/03/2004,1.7,6.5,118.0
497,31/03/2004,1.9,7.7,109.0
498,31/03/2004,2.9,11.3,123.0
499,31/03/2004,2.2,9.1,114.0
500,31/03/2004,2.6,11.2,114.0
501,31/03/2004,3.1,13.5,119.0
502,31/03/2004,2.3,10.1,111.0
503,31/03/2004,2.4,11.3,103.0
504,31/03/2004,2.8,11.8,103.0
505,31/03/2004,2.7,11.5,107.0
506,31/03/2004,2.3,9.3,105.0
507,31/03/2004,1.5,5.5,91.0
508,31/03/2004,1.4,5.1,79.0
509,31/03/2004,1.2,4.8,79.0
510,01/04/2004,1.6,6.3,86.0
511,01/04/2004,1.2,5.1,70.0
512,01/04/2004,1.1,4.1,55.0
513,01/04/2004,0.9,4.0,
514,01/04/2004,0.7,2.4,49.0
515,01/04/2004,0.9,2.9,50.0
516,01/04/2004,1.7,7.4,67.0
517,01/04/2004,4.2,19.8,94.0
518,01/04/2004,6.2,31.9,119.0
519,01/04/2004,4.6,21.0,139.0
520,01/04/2004,2.8,11.7,113.0
521,01/04/2004,1.6,6.8,88.0
522,01/04/2004,1.7,7.4,73.0
523,01/04/2004,1.7,8.6,73.0
524,01/04/2004,1.7,,72.0
525,01/04/2004,1.9,,81.0
526,01/04/2004,2.3,,93.0
527,01/04/2004,3.3,16.4,106.0
528,01/04/2004,4.2,21.2,132.0
529,01/04/2004,5.5,25.0,164.0
530,01/04/2004,4.9,20.2,161.0
531,01/04/2004,2.5,10.8,124.0
532,01/04/2004,2.0,9.9,113.0
533,01/04/2004,2.0,8.5,103.0
534,02/04/2004,2.0,8.0,104.0
535,02/04/2004,1.3,5.6,93.0
536,02/04/2004,1.0,3.2,60.0
537,02/04/2004,0.9,3.3,
538,02/04/2004,,2.8,52.0
539,02/04/2004,0.7,2.6,66.0
540,02/04/2004,1.1,4.3,82.0
541,02/04/2004,2.6,13.0,109.0
542,02/04/2004,3.9,20.3,114.0
543,02/04/2004,5.0,20.7,139.0
544,02/04/2004,3.3,15.9,127.0
545,02/04/2004,2.9,14.2,127.0
546,02/04/2004,3.1,15.9,135.0
547,02/04/2004,3.0,16.1,130.0
548,02/04/2004,2.7,14.7,126.0
549,02/04/2004,2.7,14.0,121.0
550,02/04/2004,2.6,13.6,122.0
551,02/04/2004,3.7,19.7,138.0
552,02/04/2004,4.5,23.3,165.0
553,02/04/2004,4.7,24.1,154.0
554,02/04/2004,5.5,25.4,168.0
555,02/04/2004,3.0,14.1,146.0
556,02/04/2004,1.9,10.1,124.0
557,02/04/2004,2.3,12.1,124.0
558,03/04/2004,1.6,9.0,106.0
559,03/04/2004,1.3,6.3,88.0
560,03/04/2004,1.2,5.3,83.0
561,03/04/2004,0.9,3.8,
562,03/04/2004,0.8,3.0,74.0
563,03/04/2004,0.8,3.3,64.0
564,03/04/2004,0.9,3.5,69.0
565,03/04/2004,2.0,9.5,91.0
566,03/04/2004,3.0,15.2,96.0
567,03/04/2004,3.1,14.3,106.0
568,03/04/2004,,11.2,
569,03/04/2004,,11.4,
570,03/04/2004,,13.4,
571,03/04/2004,,10.6,
572,03/04/2004,,10.8,
573,03/04/2004,,11.9,
574,03/04/2004,,13.5,
575,03/04/2004,,15.2,
576,03/04/2004,,17.1,
577,03/04/2004,,26.7,
578,03/04/2004,,14.2,
579,03/04/2004,,8.5,
580,03/04/2004,,14.3,
581,03/04/2004,,9.3,
582,04/04/2004,,7.8,
583,04/04/2004,,6.7,
584,04/04/2004,,5.4,
585,04/04/2004,,5.6,
586,04/04/2004,,3.5,
587,04/04/2004,,3.0,
588,04/04/2004,,4.4,
589,04/04/2004,,3.5,
590,04/04/2004,,4.2,
591,04/04/2004,,8.0,
592,04/04/2004,,9.0,
593,04/04/2004,,8.1,
594,04/04/2004,,8.6,
595,04/04/2004,,7.1,
596,04/04/2004,,5.6,
597,04/04/2004,,10.0,
598,04/04/2004,,10.5,
599,04/04/2004,,10.1,
600,04/04/2004,,10.0,
601,04/04/2004,,13.0,
602,04/04/2004,,10.5,
603,04/04/2004,,5.2,
604,04/04/2004,,6.9,
605,04/04/2004,,6.4,
606,05/04/2004,,4.7,
607,05/04/2004,,2.4,
608,05/04/2004,,2.2,
609,05/04/2004,,1.1,
610,05/04/2004,,0.9,
611,05/04/2004,,3.1,
612,05/04/2004,,6.2,
613,05/04/2004,,13.2,
614,05/04/2004,,25.8,
615,05/04/2004,,18.2,
616,05/04/2004,3.1,14.3,124.0
617,05/04/2004,3.0,13.7,121.0
618,05/04/2004,3.2,15.7,114.0
619,05/04/2004,3.1,15.4,114.0
620,05/04/2004,2.5,12.6,106.0
621,05/04/2004,2.1,9.8,89.0
622,05/04/2004,2.0,9.6,82.0
623,05/04/2004,3.2,16.3,111.0
624,05/04/2004,4.1,19.8,132.0
625,05/04/2004,3.9,18.0,121.0
626,05/04/2004,3.1,13.6,116.0
627,05/04/2004,2.0,8.7,100.0
628,05/04/2004,1.7,7.7,89.0
629,05/04/2004,1.6,7.3,92.0
630,06/04/2004,1.0,4.1,71.0
631,06/04/2004,0.8,2.7,51.0
632,06/04/2004,0.5,1.5,39.0
633,06/04/2004,0.5,1.9,
634,06/04/2004,0.5,1.8,35.0
635,06/04/2004,0.8,3.4,64.0
636,06/04/2004,1.7,8.5,94.0
637,06/04/2004,4.5,24.1,134.0
638,06/04/2004,6.2,33.7,129.0
639,06/04/2004,4.4,22.0,125.0
640,06/04/2004,2.9,14.1,107.0
641,06/04/2004,1.6,7.6,78.0
642,06/04/2004,2.6,14.5,91.0
643,06/04/2004,2.9,13.6,116.0
644,06/04/2004,2.5,11.5,131.0
645,06/04/2004,1.9,9.2,113.0
646,06/04/2004,1.9,10.3,98.0
647,06/04/2004,2.7,14.0,116.0
648,06/04/2004,3.0,15.0,120.0
649,06/04/2004,3.3,15.1,126.0
650,06/04/2004,3.2,14.8,126.0
651,06/04/2004,1.8,8.5,90.0
652,06/04/2004,1.3,5.9,81.0
653,06/04/2004,1.1,4.8,74.0
654,07/04/2004,0.9,4.0,67.0
655,07/04/2004,0.7,2.3,46.0
656,07/04/2004,0.4,1.4,30.0
657,07/04/2004,0.3,0.7,
658,07/04/2004,0.3,0.7,19.0
659,07/04/2004,0.3,0.8,32.0
660,07/04/2004,0.8,3.6,61.0
661,07/04/2004,2.8,12.9,111.0
662,07/04/2004,3.1,15.7,102.0
663,07/04/2004,2.3,8.6,116.0
664,07/04/2004,1.6,7.4,96.0
665,07/04/2004,1.5,6.6,97.0
666,07/04/2004,1.6,7.8,110.0
667,07/04/2004,1.8,9.1,103.0
668,07/04/2004,1.4,6.1,79.0
669,07/04/2004,1.9,7.5,104.0
670,07/04/2004,1.2,5.9,69.0
671,07/04/2004,2.3,12.7,96.0
672,07/04/2004,3.3,13.5,121.0
673,07/04/2004,3.1,14.5,129.0
674,07/04/2004,3.3,11.0,116.0
675,07/04/2004,1.2,3.2,71.0
676,07/04/2004,1.3,4.3,85.0
677,07/04/2004,1.9,7.1,101.0
678,08/04/2004,1.4,4.8,97.0
679,08/04/2004,1.5,5.7,89.0
680,08/04/2004,1.1,4.1,72.0
681,08/04/2004,0.8,3.3,
682,08/04/2004,,1.8,57.0
683,08/04/2004,0.8,2.8,62.0
684,08/04/2004,1.1,4.8,64.0
