,T,RH,AH,Value,Type
115,23.3,32.2,0.9096,1417.0,Tin Oxide
116,23.9,30.0,0.8757,1400.0,Tin Oxide
117,24.4,28.9,0.8736,1317.0,Tin Oxide
118,24.4,29.4,0.8848,1318.0,Tin Oxide
119,23.8,31.3,0.9137,1445.0,Tin Oxide
120,22.5,35.4,0.9547,1917.0,Tin Oxide
121,20.4,42.5,1.0086,2040.0,Tin Oxide
122,18.3,52.6,1.0945,1895.0,Tin Oxide
123,16.7,57.4,1.0786,1595.0,Tin Oxide
124,15.7,60.2,1.0654,1439.0,Tin Oxide
125,15.3,61.4,1.058,1142.0,Tin Oxide
126,14.1,65.7,1.0494,1304.0,Tin Oxide
127,14.8,60.6,1.0148,1074.0,Tin Oxide
128,14.8,59.2,0.9879,968.0,Tin Oxide
130,12.3,66.2,0.945,941.0,Tin Oxide
131,12.8,63.2,0.9283,937.0,Tin Oxide
132,11.2,68.5,0.9081,1017.0,Tin Oxide
133,11.0,66.5,0.8705,1171.0,Tin Oxide
134,11.7,63.7,0.8719,1541.0,Tin Oxide
135,13.6,56.3,0.8743,1539.0,Tin Oxide
136,17.8,42.9,0.8672,1735.0,Tin Oxide
137,21.4,33.3,0.8417,1571.0,Tin Oxide
138,24.4,27.4,0.8231,1452.0,Tin Oxide
139,25.3,26.1,0.8264,1579.0,Tin Oxide
140,25.8,23.2,0.7589,1466.0,Tin Oxide
141,27.0,20.2,0.7094,1280.0,Tin Oxide
142,28.2,18.6,0.7014,1407.0,Tin Oxide
143,28.0,19.1,0.7098,1389.0,Tin Oxide
144,23.9,25.7,0.7519,1447.0,Tin Oxide
145,21.3,34.8,0.873,1551.0,Tin Oxide
146,20.4,36.7,0.8704,1474.0,Tin Oxide
147,19.0,41.3,0.9007,1800.0,Tin Oxide
148,17.9,45.9,0.9342,1379.0,Tin Oxide
149,16.7,48.9,0.9226,1201.0,Tin Oxide
150,15.5,52.9,0.9271,1205.0,Tin Oxide
151,15.5,51.9,0.9059,1072.0,Tin Oxide
152,14.1,55.6,0.891,998.0,Tin Oxide
154,12.7,57.9,0.8447,883.0,Tin Oxide
155,11.8,58.0,0.8026,869.0,Tin Oxide
156,11.9,57.4,0.7978,891.0,Tin Oxide
157,9.9,65.2,0.7956,1173.0,Tin Oxide
158,11.1,60.2,0.7958,1587.0,Tin Oxide
159,14.1,50.0,0.802,1852.0,Tin Oxide
160,17.7,40.1,0.8048,1522.0,Tin Oxide
161,21.1,33.4,0.8265,1438.0,Tin Oxide
162,24.3,28.3,0.8471,1393.0,Tin Oxide
163,25.6,25.6,0.8254,1452.0,Tin Oxide
164,25.9,25.9,0.8503,1389.0,Tin Oxide
165,26.8,18.7,0.65,1207.0,Tin Oxide
166,29.3,15.8,0.6309,1365.0,Tin Oxide
167,28.5,14.9,0.5708,1247.0,Tin Oxide
168,25.9,16.0,0.5237,1557.0,Tin Oxide
169,23.1,26.5,0.7403,1973.0,Tin Oxide
170,20.5,38.2,0.9133,1975.0,Tin Oxide
171,19.1,42.6,0.9294,1795.0,Tin Oxide
172,17.2,44.1,0.8558,1444.0,Tin Oxide
173,16.0,50.9,0.9206,1488.0,Tin Oxide
174,14.8,53.9,0.9024,1371.0,Tin Oxide
175,14.3,55.4,0.8975,1161.0,Tin Oxide
176,14.8,52.1,0.8686,1064.0,Tin Oxide
178,11.6,61.9,0.8442,954.0,Tin Oxide
179,12.0,58.9,0.8233,931.0,Tin Oxide
180,10.9,62.1,0.8113,938.0,Tin Oxide
181,10.6,63.3,0.8067,1166.0,Tin Oxide
182,11.5,60.0,0.8117,1643.0,Tin Oxide
183,14.3,50.6,0.8186,1934.0,Tin Oxide
184,17.8,40.5,0.821,1617.0,Tin Oxide
185,20.8,34.4,0.8365,1473.0,Tin Oxide
186,23.8,28.2,0.8219,1379.0,Tin Oxide
187,24.2,28.7,0.8515,1385.0,Tin Oxide
188,25.2,24.9,0.7829,1379.0,Tin Oxide
189,27.0,17.8,0.6275,1322.0,Tin Oxide
190,27.1,23.1,0.818,1496.0,Tin Oxide
191,25.8,23.9,0.7832,1409.0,Tin Oxide
192,23.0,26.8,0.7446,1513.0,Tin Oxide
193,20.7,31.1,0.7523,1667.0,Tin Oxide
194,18.6,36.2,0.7676,1667.0,Tin Oxide
195,16.0,48.4,0.8768,1430.0,Tin Oxide
196,14.5,57.8,0.9456,1333.0,Tin Oxide
197,13.1,64.2,0.9606,1262.0,Tin Oxide
198,12.0,69.7,0.9735,1287.0,Tin Oxide
199,11.9,71.1,0.9915,1134.0,Tin Oxide
200,12.5,69.3,1.0029,999.0,Tin Oxide
202,12.3,67.7,0.9665,934.0,Tin Oxide
203,12.5,66.8,0.962,913.0,Tin Oxide
204,12.3,66.3,0.9487,969.0,Tin Oxide
205,12.4,64.9,0.9332,1182.0,Tin Oxide
206,13.0,61.6,0.9209,1740.0,Tin Oxide
207,13.6,58.8,0.912,1819.0,Tin Oxide
208,13.9,57.1,0.9032,1427.0,Tin Oxide
209,14.5,54.4,0.8917,1390.0,Tin Oxide
210,15.5,50.1,0.8744,1283.0,Tin Oxide
211,16.1,47.6,0.8655,1304.0,Tin Oxide
212,16.3,47.1,0.864,1364.0,Tin Oxide
213,16.4,47.5,0.8791,1410.0,Tin Oxide
214,16.1,50.2,0.9094,1476.0,Tin Oxide
215,16.0,50.7,0.9142,1522.0,Tin Oxide
216,15.8,50.3,0.8989,1442.0,Tin Oxide
217,15.5,50.6,0.884,1469.0,Tin Oxide
218,15.4,51.4,0.8956,1467.0,Tin Oxide
219,15.2,53.1,0.9117,1421.0,Tin Oxide
220,14.7,57.6,0.9573,1175.0,Tin Oxide
221,14.2,58.3,0.938,1215.0,Tin Oxide
222,13.8,57.9,0.9085,1127.0,Tin Oxide
223,13.9,55.9,0.8842,1090.0,Tin Oxide
224,13.9,55.6,0.8765,1017.0,Tin Oxide
226,13.8,54.6,0.8574,945.0,Tin Oxide
227,13.6,55.1,0.856,956.0,Tin Oxide
228,13.6,59.0,0.9129,966.0,Tin Oxide
229,13.5,58.4,0.896,1064.0,Tin Oxide
230,13.8,58.0,0.9083,1300.0,Tin Oxide
231,14.6,53.1,0.8765,1348.0,Tin Oxide
232,15.0,52.3,0.8881,1425.0,Tin Oxide
233,15.4,52.1,0.9046,1474.0,Tin Oxide
234,16.3,50.0,0.9158,1490.0,Tin Oxide
235,17.1,47.9,0.9281,1495.0,Tin Oxide
236,19.0,42.9,0.937,1376.0,Tin Oxide
237,19.5,42.3,0.9476,1305.0,Tin Oxide
238,19.5,42.3,0.9493,1283.0,Tin Oxide
239,19.1,43.8,0.9556,1392.0,Tin Oxide
240,18.5,46.3,0.9744,1452.0,Tin Oxide
241,17.4,51.6,1.0159,1633.0,Tin Oxide
242,17.1,51.3,0.9914,1625.0,Tin Oxide
243,16.4,53.8,0.9964,1535.0,Tin Oxide
244,16.2,55.4,1.0132,1323.0,Tin Oxide
245,15.9,57.7,1.0356,1309.0,Tin Oxide
246,15.7,58.6,1.0396,1456.0,Tin Oxide
247,15.1,60.9,1.0398,1300.0,Tin Oxide
248,15.6,56.6,0.9951,1203.0,Tin Oxide
250,15.4,57.8,1.0021,1117.0,Tin Oxide
251,14.9,60.6,1.0196,1062.0,Tin Oxide
252,14.5,63.0,1.0316,947.0,Tin Oxide
253,14.2,66.2,1.063,1065.0,Tin Oxide
254,14.5,65.3,1.0704,1155.0,Tin Oxide
255,15.3,62.1,1.073,1220.0,Tin Oxide
256,16.3,59.0,1.0868,1301.0,Tin Oxide
257,18.9,49.6,1.07,1279.0,Tin Oxide
258,19.4,46.1,1.0249,1267.0,Tin Oxide
259,20.8,41.6,1.0091,1239.0,Tin Oxide
260,21.4,40.3,1.0126,1128.0,Tin Oxide
261,21.2,39.3,0.9791,1243.0,Tin Oxide
262,20.3,38.0,0.8942,1208.0,Tin Oxide
263,19.4,41.3,0.9206,1306.0,Tin Oxide
264,18.5,43.8,0.9252,1546.0,Tin Oxide
265,17.8,48.1,0.9689,1501.0,Tin Oxide
266,17.9,46.9,0.952,1605.0,Tin Oxide
267,17.4,49.1,0.9688,1316.0,Tin Oxide
268,17.0,51.7,0.9914,1195.0,Tin Oxide
269,16.4,55.1,1.0198,1211.0,Tin Oxide
270,16.1,60.0,1.0919,1161.0,Tin Oxide
271,15.8,60.5,1.0805,1095.0,Tin Oxide
272,16.3,57.0,1.0491,897.0,Tin Oxide
274,16.1,55.9,1.0153,854.0,Tin Oxide
275,16.5,53.9,1.0049,845.0,Tin Oxide
276,16.4,54.0,0.9979,942.0,Tin Oxide
277,15.7,57.6,1.0195,1090.0,Tin Oxide
278,15.8,53.7,0.9571,1514.0,Tin Oxide
279,17.4,42.1,0.8281,1379.0,Tin Oxide
280,17.9,38.4,0.7793,1074.0,Tin Oxide
281,18.5,36.7,0.7764,1090.0,Tin Oxide
282,21.0,29.6,0.7263,1110.0,Tin Oxide
283,21.3,28.1,0.7067,1102.0,Tin Oxide
284,21.3,26.1,0.6539,1100.0,Tin Oxide
285,21.3,26.8,0.6681,1094.0,Tin Oxide
286,21.3,24.2,0.606,1076.0,Tin Oxide
287,20.2,28.5,0.6682,1152.0,Tin Oxide
288,17.0,43.1,0.8264,1407.0,Tin Oxide
289,15.6,47.4,0.8347,1438.0,Tin Oxide
290,15.3,47.4,0.8178,1425.0,Tin Oxide
291,14.5,49.7,0.8177,1279.0,Tin Oxide
292,13.9,52.0,0.8231,1132.0,Tin Oxide
293,14.5,49.4,0.8106,1006.0,Tin Oxide
294,13.8,51.4,0.8071,982.0,Tin Oxide
295,14.0,51.3,0.8163,969.0,Tin Oxide
296,13.0,56.8,0.8444,941.0,Tin Oxide
298,10.1,76.8,0.9483,855.0,Tin Oxide
299,8.8,80.5,0.9147,834.0,Tin Oxide
300,9.6,75.4,0.9004,909.0,Tin Oxide
301,9.8,75.0,0.9093,1061.0,Tin Oxide
302,10.0,74.2,0.9117,1441.0,Tin Oxide
303,11.2,69.7,0.9232,1498.0,Tin Oxide
304,12.0,62.9,0.8803,1343.0,Tin Oxide
305,12.8,55.8,0.821,1308.0,Tin Oxide
306,13.1,54.8,0.8234,1209.0,Tin Oxide
307,13.8,53.4,0.8351,1310.0,Tin Oxide
308,16.0,42.4,0.7674,1171.0,Tin Oxide
309,14.1,49.8,0.7971,1112.0,Tin Oxide
310,12.0,61.1,0.8537,1132.0,Tin Oxide
311,13.6,54.6,0.8465,1225.0,Tin Oxide
312,13.7,49.5,0.7695,1065.0,Tin Oxide
313,11.7,57.1,0.7822,1236.0,Tin Oxide
314,11.5,58.2,0.7867,1309.0,Tin Oxide
315,12.6,54.2,0.7881,1089.0,Tin Oxide
316,12.0,54.9,0.7664,1000.0,Tin Oxide
317,11.0,61.4,0.8057,1041.0,Tin Oxide
318,11.1,62.2,0.8199,1045.0,Tin Oxide
319,10.8,62.5,0.8082,997.0,Tin Oxide
320,11.3,60.0,0.8025,948.0,Tin Oxide
322,10.2,62.7,0.7813,908.0,Tin Oxide
323,10.9,58.6,0.7628,892.0,Tin Oxide
324,10.8,57.2,0.7382,954.0,Tin Oxide
325,10.4,59.2,0.7455,1045.0,Tin Oxide
326,11.0,57.3,0.7501,1383.0,Tin Oxide
327,11.2,56.9,0.7565,1597.0,Tin Oxide
328,12.1,54.9,0.7734,1318.0,Tin Oxide
329,15.1,44.3,0.7535,1138.0,Tin Oxide
330,15.6,40.6,0.7146,1098.0,Tin Oxide
331,16.9,34.6,0.6597,1118.0,Tin Oxide
332,16.6,35.6,0.6697,1170.0,Tin Oxide
333,11.3,63.9,0.8554,1112.0,Tin Oxide
334,9.6,81.1,0.972,1390.0,Tin Oxide
335,11.7,69.1,0.9497,1353.0,Tin Oxide
336,10.7,68.5,0.8794,1260.0,Tin Oxide
337,10.7,67.3,0.8643,1501.0,Tin Oxide
338,10.8,65.7,0.8486,1273.0,Tin Oxide
339,10.3,66.3,0.8336,1179.0,Tin Oxide
340,10.1,66.9,0.8248,1047.0,Tin Oxide
341,10.4,61.1,0.7717,973.0,Tin Oxide
342,10.3,59.9,0.7516,997.0,Tin Oxide
343,11.0,58.4,0.7686,970.0,Tin Oxide
344,9.1,68.1,0.789,902.0,Tin Oxide
346,9.3,72.3,0.8496,858.0,Tin Oxide
347,9.9,66.8,0.8152,878.0,Tin Oxide
348,7.6,83.2,0.8695,893.0,Tin Oxide
349,8.1,79.0,0.8544,1038.0,Tin Oxide
350,8.7,74.6,0.8429,1320.0,Tin Oxide
351,8.6,75.1,0.8415,1353.0,Tin Oxide
352,9.7,69.7,0.8389,1133.0,Tin Oxide
353,11.0,64.4,0.8447,1066.0,Tin Oxide
354,13.6,53.0,0.8209,1027.0,Tin Oxide
355,14.2,48.4,0.778,1106.0,Tin Oxide
356,14.2,46.3,0.7438,1038.0,Tin Oxide
357,16.0,41.3,0.7462,1084.0,Tin Oxide
358,17.7,35.4,0.7094,1105.0,Tin Oxide
359,17.1,37.4,0.7225,1102.0,Tin Oxide
360,14.9,40.5,0.6835,1240.0,Tin Oxide
361,13.4,47.8,0.7293,1443.0,Tin Oxide
362,12.6,52.5,0.7642,1389.0,Tin Oxide
363,12.2,53.2,0.7555,1183.0,Tin Oxide
364,10.6,56.1,0.714,1014.0,Tin Oxide
365,9.9,59.5,0.7276,979.0,Tin Oxide
366,9.6,61.1,0.7323,1048.0,Tin Oxide
367,9.7,61.6,0.7425,1024.0,Tin Oxide
368,9.4,62.6,0.7398,974.0,Tin Oxide
370,8.0,69.4,0.7459,925.0,Tin Oxide
371,7.7,72.4,0.7655,952.0,Tin Oxide
372,8.0,71.8,0.7711,1005.0,Tin Oxide
373,8.5,66.3,0.7375,1122.0,Tin Oxide
374,9.8,59.6,0.7214,1351.0,Tin Oxide
375,11.2,57.0,0.7544,1408.0,Tin Oxide
376,14.8,44.1,0.7407,1304.0,Tin Oxide
377,16.8,35.3,0.6729,1207.0,Tin Oxide
378,19.2,27.1,0.5976,1099.0,Tin Oxide
379,19.1,26.2,0.5741,1106.0,Tin Oxide
380,16.3,30.8,0.5683,1009.0,Tin Oxide
381,14.2,36.8,0.5922,962.0,Tin Oxide
382,13.4,41.0,0.6292,1093.0,Tin Oxide
383,14.2,43.3,0.6982,1180.0,Tin Oxide
384,12.1,45.6,0.6403,1168.0,Tin Oxide
385,10.4,48.0,0.6046,1168.0,Tin Oxide
386,10.0,51.1,0.628,1140.0,Tin Oxide
387,9.8,50.8,0.6172,1001.0,Tin Oxide
388,9.7,50.4,0.6063,953.0,Tin Oxide
389,9.9,50.2,0.6103,972.0,Tin Oxide
390,9.4,53.4,0.63,1021.0,Tin Oxide
391,8.6,57.8,0.6488,940.0,Tin Oxide
392,8.1,62.1,0.6746,1046.0,Tin Oxide
394,7.4,64.8,0.6683,983.0,Tin Oxide
395,8.2,58.9,0.6444,915.0,Tin Oxide
396,6.3,66.6,0.641,935.0,Tin Oxide
397,7.2,62.9,0.6396,976.0,Tin Oxide
398,7.2,63.9,0.65,1124.0,Tin Oxide
399,11.1,50.5,0.6654,1163.0,Tin Oxide
400,15.5,36.1,0.6313,1167.0,Tin Oxide
401,17.8,29.2,0.592,1121.0,Tin Oxide
402,17.6,30.1,0.6013,1071.0,Tin Oxide
403,19.1,26.8,0.5861,1065.0,Tin Oxide
404,17.7,28.6,0.5735,1157.0,Tin Oxide
405,17.8,28.4,0.5737,1046.0,Tin Oxide
406,18.7,26.0,0.5555,1147.0,Tin Oxide
407,17.1,31.3,0.6038,1119.0,Tin Oxide
408,15.8,36.1,0.644,1210.0,Tin Oxide
409,14.7,40.1,0.6657,1306.0,Tin Oxide
410,13.6,44.9,0.6991,1258.0,Tin Oxide
411,12.5,48.1,0.6946,1148.0,Tin Oxide
412,11.8,50.8,0.7042,1108.0,Tin Oxide
413,10.9,56.1,0.7326,1231.0,Tin Oxide
414,10.9,55.9,0.7277,1293.0,Tin Oxide
415,10.3,58.1,0.7278,1274.0,Tin Oxide
416,9.3,62.2,0.7294,1135.0,Tin Oxide
418,8.3,64.9,0.7124,1010.0,Tin Oxide
419,9.6,58.5,0.7,870.0,Tin Oxide
420,7.7,66.4,0.699,983.0,Tin Oxide
421,7.4,68.0,0.7043,995.0,Tin Oxide
422,9.7,58.6,0.7035,1024.0,Tin Oxide
423,12.5,50.1,0.7242,1163.0,Tin Oxide
424,16.8,36.9,0.7018,1218.0,Tin Oxide
425,19.2,31.3,0.6887,1210.0,Tin Oxide
426,21.3,26.4,0.6607,1114.0,Tin Oxide
427,21.2,23.1,0.5768,995.0,Tin Oxide
428,18.6,25.0,0.5319,927.0,Tin Oxide
429,18.0,27.3,0.5594,1002.0,Tin Oxide
430,18.2,28.3,0.5848,987.0,Tin Oxide
431,17.0,31.4,0.6048,993.0,Tin Oxide
432,15.6,35.0,0.617,1012.0,Tin Oxide
433,14.1,40.2,0.6438,1114.0,Tin Oxide
434,13.4,43.2,0.6623,1093.0,Tin Oxide
435,12.3,46.8,0.6686,968.0,Tin Oxide
436,11.9,46.5,0.6449,960.0,Tin Oxide
437,11.5,46.6,0.6319,942.0,Tin Oxide
438,10.6,48.0,0.6135,888.0,Tin Oxide
439,10.7,45.8,0.5895,818.0,Tin Oxide
440,10.4,46.6,0.5901,840.0,Tin Oxide
442,11.3,46.9,0.628,864.0,Tin Oxide
443,10.1,51.2,0.6341,898.0,Tin Oxide
444,9.9,50.7,0.6167,946.0,Tin Oxide
445,8.1,56.8,0.615,1309.0,Tin Oxide
446,10.9,44.1,0.5748,1326.0,Tin Oxide
447,11.8,37.6,0.5184,966.0,Tin Oxide
448,13.9,33.2,0.5222,975.0,Tin Oxide
449,15.6,30.1,0.5285,988.0,Tin Oxide
450,16.5,29.0,0.5406,971.0,Tin Oxide
451,17.5,27.9,0.5517,1010.0,Tin Oxide
452,17.9,26.8,0.5446,984.0,Tin Oxide
453,18.2,26.1,0.5387,962.0,Tin Oxide
454,18.0,27.1,0.5522,1012.0,Tin Oxide
455,17.0,28.9,0.5558,1058.0,Tin Oxide
456,16.1,31.3,0.568,1173.0,Tin Oxide
457,14.5,35.4,0.5839,1127.0,Tin Oxide
458,13.2,37.9,0.5733,1020.0,Tin Oxide
459,13.1,34.4,0.517,949.0,Tin Oxide
460,13.5,28.5,0.4405,930.0,Tin Oxide
461,12.4,31.9,0.4583,900.0,Tin Oxide
462,13.1,26.8,0.4023,899.0,Tin Oxide
463,11.6,33.6,0.4595,866.0,Tin Oxide
464,10.5,42.9,0.5442,900.0,Tin Oxide
466,12.2,37.2,0.5277,897.0,Tin Oxide
467,12.9,33.9,0.5037,956.0,Tin Oxide
468,11.3,40.3,0.5376,1054.0,Tin Oxide
469,11.9,38.4,0.5341,1343.0,Tin Oxide
470,13.3,35.6,0.5416,1584.0,Tin Oxide
471,16.3,28.8,0.5305,1556.0,Tin Oxide
472,17.9,28.2,0.5741,1565.0,Tin Oxide
473,18.3,26.6,0.5529,1429.0,Tin Oxide
474,20.8,22.5,0.5463,1419.0,Tin Oxide
475,22.4,20.0,0.5352,1373.0,Tin Oxide
476,20.9,21.7,0.5295,1185.0,Tin Oxide
477,19.1,26.5,0.579,1122.0,Tin Oxide
478,18.1,30.6,0.6295,1085.0,Tin Oxide
479,17.3,34.7,0.6788,1249.0,Tin Oxide
480,15.8,40.4,0.7228,1236.0,Tin Oxide
481,15.9,42.0,0.7541,1334.0,Tin Oxide
482,15.9,43.5,0.779,1264.0,Tin Oxide
483,15.0,46.1,0.7833,1073.0,Tin Oxide
484,15.1,44.6,0.7574,1053.0,Tin Oxide
485,14.9,43.5,0.7302,1098.0,Tin Oxide
486,14.8,41.0,0.685,1029.0,Tin Oxide
487,14.8,40.8,0.6814,973.0,Tin Oxide
488,14.8,40.8,0.6834,972.0,Tin Oxide
490,14.5,36.1,0.5928,851.0,Tin Oxide
491,14.6,36.0,0.5947,909.0,Tin Oxide
492,14.4,38.5,0.6291,1038.0,Tin Oxide
493,13.8,58.2,0.9129,1636.0,Tin Oxide
494,13.2,61.1,0.9256,1580.0,Tin Oxide
495,10.4,74.4,0.9384,1262.0,Tin Oxide
496,11.5,71.0,0.9582,1197.0,Tin Oxide
497,12.2,70.0,0.9924,1277.0,Tin Oxide
498,12.3,73.3,1.0442,1430.0,Tin Oxide
499,11.3,78.1,1.0411,1242.0,Tin Oxide
500,13.6,69.2,1.0746,1349.0,Tin Oxide
501,14.9,59.3,0.9974,1390.0,Tin Oxide
502,15.7,50.9,0.8997,1224.0,Tin Oxide
503,15.2,52.9,0.9087,1253.0,Tin Oxide
504,15.5,50.8,0.8881,1312.0,Tin Oxide
505,14.3,52.9,0.8581,1254.0,Tin Oxide
506,13.2,56.0,0.8446,1198.0,Tin Oxide
507,12.6,57.0,0.8315,1060.0,Tin Oxide
508,12.3,57.8,0.8224,1050.0,Tin Oxide
509,12.0,58.4,0.8164,1029.0,Tin Oxide
510,12.0,61.6,0.8593,1143.0,Tin Oxide
511,11.5,63.9,0.8652,1044.0,Tin Oxide
512,10.7,67.2,0.863,1034.0,Tin Oxide
514,10.2,66.6,0.8299,909.0,Tin Oxide
515,11.0,63.7,0.8325,996.0,Tin Oxide
516,9.6,68.8,0.8243,1154.0,Tin Oxide
517,9.5,69.6,0.8273,1510.0,Tin Oxide
518,11.9,60.9,0.8455,1722.0,Tin Oxide
519,16.2,48.6,0.8892,1512.0,Tin Oxide
520,19.2,39.6,0.8693,1258.0,Tin Oxide
521,19.7,38.4,0.8743,1094.0,Tin Oxide
522,20.6,36.7,0.8797,1129.0,Tin Oxide
523,21.8,33.9,0.8771,1125.0,Tin Oxide
527,23.6,27.5,0.7913,1308.0,Tin Oxide
528,22.8,32.1,0.8814,1529.0,Tin Oxide
529,20.8,36.7,0.8878,1592.0,Tin Oxide
